scene_id,test_set,file_name,level,primary_dimension,issue_type,issue_desc,factual_impact,confidence,note
1,AI美化线上版,空房间ai美化线上版01.jpg,3,光影与曝光合理性,过曝,窗外曝光很强,是,高,
1,实时增强结果版,空房间实时增强测试01.jpg,3,光影与曝光合理性,反光异常,地板和橱柜光斑散乱,是,高,
1,实时增强LoRA版,空房间实时增强lora测试01.jpg,1,光影与曝光合理性,改善项,曝光减少且整体可接受,否,中,来自口述“还行，曝光减少了”
2,AI美化线上版,空房间ai美化线上版02.jpg,4,材质与颜色保真,反光异常,墙面出现丑陋反光划痕且窗外过曝,是,高,
2,实时增强结果版,空房间实时增强测试02.jpg,4,结构保真,结构幻觉,墙面出现不符合结构的柜子,是,高,
2,实时增强LoRA版,空房间实时增强lora测试02.jpg,4,结构保真,结构幻觉,墙面出现不符合结构的柜子,是,高,来自“实时增强均出现了...墙面出现了柜子”
3,AI美化线上版,空房间ai美化线上版03.jpg,4,材质与颜色保真,颜色偏移,颜色错误由蓝变紫，且备注为与场景2类似问题,是,中,建议复核是否也包含过曝/划痕
4,AI美化线上版,空房间ai美化线上版04.jpg,4,光影与曝光合理性,错误光源,没有射灯但墙上出现光斑,是,高,
4,AI美化LoRA版,空房间ai美化测试04.jpg,1,光影与曝光合理性,改善项,解决了线上版错误光斑问题,否,中,
5,AI美化线上版,空房间ai美化线上版05.jpg,3,材质与颜色保真,颜色偏移,地板颜色变深很多,是,高,
5,AI美化LoRA版,空房间ai美化测试05.jpg,1,材质与颜色保真,改善项,更符合原图实际,否,中,
5,实时增强LoRA版,空房间实时增强lora测试05.jpg,3,细节保留与增强节制,细节丢失,门上的结构花纹被消掉,是,高,
7,AI美化线上版,空房间ai美化线上版07.jpg,4,材质与颜色保真,反光异常,墙面出现丑陋反光划痕,是,高,
7,实时增强结果版,空房间实时增强测试07.jpg,3,材质与颜色保真,材质漂移,装饰墙材质改变且出现结构线,是,高,
8,AI美化线上版,空房间ai美化线上版08.jpg,3,光影与曝光合理性,错误光源,门把手光影生硬且柜子底面加灯带,是,高,
8,AI美化LoRA版,空房间ai美化测试08.jpg,2,光影与曝光合理性,局部可接受变化,深柜上加了灯带,否,高,当前描述更接近轻微问题
8,实时增强结果版,空房间实时增强测试08.jpg,4,结构保真,物体幻觉,给看不到灯泡的墙上加了灯泡,是,高,
9,AI美化线上版,空房间ai美化线上版09.jpg,4,材质与颜色保真,颜色偏移,颜色有严重问题,是,高,
9,实时增强结果版,空房间实时增强测试09.jpg,3,光影与曝光合理性,过曝,结果版存在过强曝光问题,是,中,来自与LoRA版的对比描述
9,实时增强LoRA版,空房间实时增强lora测试09.jpg,1,光影与曝光合理性,改善项,解决了结果版过强曝光问题,否,中,
10,待确认,待确认,1,细节保留与增强节制,改善项,植物死黑问题得到缓解,否,低,未明确对应测试集
12,实时增强结果版,空房间实时增强测试12.jpg,3,光影与曝光合理性,错误光源,光影增强较激进，出现格纹光,是,高,
14,实时增强结果版,空房间实时增强测试14.jpg,3,光影与曝光合理性,反光异常,玻璃反光和把手反光很严重，封模线被增强,是,高,
16,AI美化线上版,空房间ai美化线上版16.jpg,3,光影与曝光合理性,错误光源,百叶窗透光效果有问题,是,高,
16,实时增强LoRA版,空房间实时增强lora测试16.jpg,4,材质与颜色保真,颜色偏移,美缝由白变黑,是,高,
17,AI美化线上版,空房间ai美化线上版17.jpg,4,材质与颜色保真,材质漂移,背光墙面出现严重材质改变,是,高,
17,实时增强LoRA版,空房间实时增强lora测试17.jpg,3,材质与颜色保真,颜色偏移,颜色比原图更深,是,高,
18,实时增强结果版,空房间实时增强测试18.jpg,3,光影与曝光合理性,反光异常,玻璃上出现莫名反光,是,中,原始记录表述有歧义
20,AI美化线上版,空房间ai美化线上版20.jpg,4,光影与曝光合理性,反光异常,黑色大理石出现彩色炫光,是,高,
20,实时增强结果版,空房间实时增强测试20.jpg,4,结构保真,物体幻觉,墙面出现马桶反光且台面上出现洗手液,是,中,两条问题均指向同一口述记录
22,实时增强结果版,空房间实时增强测试22.jpg,4,光影与曝光合理性,过曝,曝光非常严重,是,高,
23,待确认,待确认,3,材质与颜色保真,颜色偏移,地板颜色深浅不一,是,低,未明确对应测试集
