"scene_id","original_file","AI美化线上版文件","AI美化线上版_材质色差","AI美化线上版_材质品类变化","AI美化线上版_光影过强","AI美化线上版_结构与物品变化","AI美化线上版_总评","AI美化线上版_备注","AI美化LoRA版文件","AI美化LoRA版_材质色差","AI美化LoRA版_材质品类变化","AI美化LoRA版_光影过强","AI美化LoRA版_结构与物品变化","AI美化LoRA版_总评","AI美化LoRA版_备注","实时增强结果版文件","实时增强结果版_材质色差","实时增强结果版_材质品类变化","实时增强结果版_光影过强","实时增强结果版_结构与物品变化","实时增强结果版_总评","实时增强结果版_备注","实时增强LoRA版文件","实时增强LoRA版_材质色差","实时增强LoRA版_材质品类变化","实时增强LoRA版_光影过强","实时增强LoRA版_结构与物品变化","实时增强LoRA版_总评","实时增强LoRA版_备注"
"01","空房间测试01.jpg","空房间ai美化线上版01.jpg","","","","","","","空房间ai美化测试01.jpg","","","","","","","空房间实时增强测试01.jpg","","","","","","","空房间实时增强lora测试01.jpg","","","","","",""
"02","空房间测试02.jpg","空房间ai美化线上版02.jpg","","","","","","","空房间ai美化测试02.jpg","","","","","","","空房间实时增强测试02.jpg","","","","","","","空房间实时增强lora测试02.jpg","","","","","",""
"03","空房间测试03.jpg","空房间ai美化线上版03.jpg","","","","","","","空房间ai美化测试03.jpg","","","","","","","空房间实时增强测试03.jpg","","","","","","","空房间实时增强lora测试03.jpg","","","","","",""
"04","空房间测试04.jpg","空房间ai美化线上版04.jpg","","","","","","","空房间ai美化测试04.jpg","","","","","","","空房间实时增强测试04.jpg","","","","","","","空房间实时增强lora测试04.jpg","","","","","",""
"05","空房间测试05.jpg","空房间ai美化线上版05.jpg","","","","","","","空房间ai美化测试05.jpg","","","","","","","空房间实时增强测试05.jpg","","","","","","","空房间实时增强lora测试05.jpg","","","","","",""
"06","空房间测试06.jpg","空房间ai美化线上版06.jpg","","","","","","","空房间ai美化测试06.jpg","","","","","","","空房间实时增强测试06.jpg","","","","","","","空房间实时增强lora测试06.jpg","","","","","",""
"07","空房间测试07.jpg","空房间ai美化线上版07.jpg","","","","","","","空房间ai美化测试07.jpg","","","","","","","空房间实时增强测试07.jpg","","","","","","","空房间实时增强lora测试07.jpg","","","","","",""
"08","空房间测试08.jpg","空房间ai美化线上版08.jpg","","","","","","","空房间ai美化测试08.jpg","","","","","","","空房间实时增强测试08.jpg","","","","","","","空房间实时增强lora测试08.jpg","","","","","",""
"09","空房间测试09.jpg","空房间ai美化线上版09.jpg","","","","","","","空房间ai美化测试09.jpg","","","","","","","空房间实时增强测试09.jpg","","","","","","","空房间实时增强lora测试09.jpg","","","","","",""
"10","空房间测试10.jpg","空房间ai美化线上版10.jpg","","","","","","","空房间ai美化测试10.jpg","","","","","","","空房间实时增强测试10.jpg","","","","","","","空房间实时增强lora测试10.jpg","","","","","",""
