"scene_id","original_file","test_set","test_file","材质色差","材质品类变化","光影过强","结构与物品变化","总评","问题备注","说明"
"01","空房间测试01.jpg","AI美化线上版","空房间ai美化线上版01.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"01","空房间测试01.jpg","AI美化LoRA版","空房间ai美化测试01.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"01","空房间测试01.jpg","实时增强结果版","空房间实时增强测试01.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"01","空房间测试01.jpg","实时增强LoRA版","空房间实时增强lora测试01.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"02","空房间测试02.jpg","AI美化线上版","空房间ai美化线上版02.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"02","空房间测试02.jpg","AI美化LoRA版","空房间ai美化测试02.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"02","空房间测试02.jpg","实时增强结果版","空房间实时增强测试02.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"02","空房间测试02.jpg","实时增强LoRA版","空房间实时增强lora测试02.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"03","空房间测试03.jpg","AI美化线上版","空房间ai美化线上版03.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"03","空房间测试03.jpg","AI美化LoRA版","空房间ai美化测试03.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"03","空房间测试03.jpg","实时增强结果版","空房间实时增强测试03.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"03","空房间测试03.jpg","实时增强LoRA版","空房间实时增强lora测试03.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"04","空房间测试04.jpg","AI美化线上版","空房间ai美化线上版04.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"04","空房间测试04.jpg","AI美化LoRA版","空房间ai美化测试04.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"04","空房间测试04.jpg","实时增强结果版","空房间实时增强测试04.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"04","空房间测试04.jpg","实时增强LoRA版","空房间实时增强lora测试04.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"05","空房间测试05.jpg","AI美化线上版","空房间ai美化线上版05.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"05","空房间测试05.jpg","AI美化LoRA版","空房间ai美化测试05.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"05","空房间测试05.jpg","实时增强结果版","空房间实时增强测试05.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"05","空房间测试05.jpg","实时增强LoRA版","空房间实时增强lora测试05.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
"06","空房间测试06.jpg","AI美化线上版","空房间ai美化线上版06.jpg","","","","","","","A=基本正确; B=轻微变化但无所谓; C=有变化但不影响事实表达; D=严重错误"
